source,target,weight
0x01076c,0x0174f8,17
0x011de1,0x4d19,28
0x0dfa,0x011f33,17
0x9cf4,0xf7,16
0x3898,0xf7,12
0xfbbe,0x01822c,12
0x0a20,0x0d97,11
0xe672,0x0174f8,64
0xd373,0x01b8ff,20
0x016e3d,0x0174f8,11
0xa6a7,0x9300,16
0xe2c9,0x3d52,17
0x0175c9,0x01b4ce,28
0x6c64,0x0174f8,16
0x0134e5,0x0174f8,57
0xca4e,0x7b6c,16
0x20ab,0x1585,10
0x5379,0xf7,11
0x1242,0xf7,12
0xb380,0x5811,20
0x013350,0x0174f8,64
0x011b10,0x01193a,16
0x871f,0x010fb7,16
0x5abc,0x4e50,12
0x0156dd,0x01b8ff,16
0x01c06b,0x7b6c,11
0xf704,0x016e31,20
0x01ad47,0x01a577,11
0x012035,0x0174f8,11
0x01b2b9,0x1585,105
0x015175,0xb8c3,31
0x0126fb,0x1585,17
0xbe27,0x0100da,16
0x01481f,0x01b8ff,16
0x108c,0x01a577,11
0x06d8,0x4e50,16
0x015f8a,0x01b8ff,11
0x64ac,0x5811,25
0xbe7d,0xf7,11
0x014c21,0x0174f8,65
0x015719,0x5811,12
0xf1ef,0x7b6c,11
0x010e6d,0x01a577,24
0x018515,0x01a577,16
0x013848,0x20c6,24
0xeabc,0x0174f8,16
0x016091,0xf7,11
0xf328,0x713e,39
0x017aee,0x013489,25
0xf9fe,0xe01b,11
0x016cd6,0x9a45,12
0x0151d4,0xf7,11
0x3acc,0x0d97,11
0x012759,0xbc4a,12
0xb03d,0x20c6,16
0x010550,0xf7,19
0x71e5,0x20c6,16
0x01dd49,0x99a2,23
0xcdd4,0x16c5,40
0x012378,0x7b6c,11
0xdc6b,0x713e,16
0xa1d3,0xbc4a,65
0x0169f6,0xf7,24
0x013285,0x016d47,16
0xae49,0x01a577,16
0x38e5,0x73e6,12
0x3f47,0xf7,17
0x010ee4,0x4e50,16
0x017d51,0xbd78,17
0x0197a5,0x7b6c,11
0x4476,0x713e,32
0x0941,0xf7,11
